weight,dead,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,injSeverity
121.485,alive,airbag,belted,0,f,77,1997,1995,nodeploy,driver,0,1
259.365,alive,none,none,1,f,30,1997,1993,unavail,driver,0,1
259.365,alive,none,belted,0,f,22,1997,1990,unavail,driver,0,1
225.104,alive,none,none,1,m,17,1997,1987,unavail,pass,0,1
128.178,alive,airbag,belted,0,m,36,1997,1995,nodeploy,driver,0,1
128.178,alive,airbag,belted,1,m,68,1997,1994,deploy,driver,1,1
18.536,alive,airbag,belted,1,m,21,1997,1995,deploy,driver,1,3
18.536,alive,none,belted,1,f,81,1997,1993,unavail,driver,0,3
114.634,alive,none,belted,1,m,52,1997,1988,unavail,driver,0,2
1104.733,alive,none,belted,0,f,18,1997,1989,unavail,driver,0,0
18.536,alive,airbag,belted,0,f,72,1997,1994,nodeploy,pass,0,3
12.383,alive,none,none,0,f,56,1997,1990,unavail,pass,0,3
111.743,alive,none,none,1,m,59,1997,1985,unavail,driver,0,1
103.654,alive,airbag,belted,1,m,30,1997,1997,deploy,driver,1,0
103.654,alive,none,none,1,f,25,1997,1997,unavail,pass,0,2
103.654,alive,none,none,1,f,56,1997,1988,unavail,driver,0,2
41.302,alive,airbag,belted,1,f,24,1997,1994,deploy,driver,1,1
41.302,alive,none,belted,1,m,22,1997,1994,unavail,pass,0,1
76.373,alive,airbag,belted,0,m,37,1997,1995,nodeploy,driver,0,2
351.893,alive,airbag,belted,0,m,77,1997,1996,nodeploy,driver,0,0
12.383,alive,none,none,1,m,41,1997,1987,unavail,driver,0,1
21.343,alive,airbag,belted,1,m,19,1997,1995,deploy,driver,1,3
21.343,alive,airbag,belted,0,m,62,1997,1992,deploy,driver,1,0
13.374,alive,none,belted,1,m,26,1997,1994,unavail,driver,0,3
18.536,alive,airbag,belted,0,f,50,1997,1994,nodeploy,driver,0,3
18.536,alive,airbag,none,1,m,51,1997,1995,deploy,driver,1,0
12.383,alive,none,none,0,m,18,1997,1989,unavail,pass,0,0
12.383,alive,none,belted,0,f,17,1997,1989,unavail,driver,0,3
1004.501,alive,none,none,1,f,42,1997,1989,unavail,driver,0,1
13.374,alive,airbag,belted,1,f,81,1997,1995,deploy,driver,1,1
13.374,alive,airbag,belted,0,f,77,1997,1991,nodeploy,driver,0,1
59.988,alive,airbag,belted,1,f,23,1997,1996,deploy,driver,1,1
276.396,alive,airbag,belted,0,f,50,1997,1995,nodeploy,driver,0,1
45.334,alive,airbag,none,1,m,56,1997,1994,deploy,driver,1,3
45.334,alive,none,belted,1,f,17,1997,1987,unavail,driver,0,3
19.834,alive,airbag,belted,1,f,74,1997,1996,deploy,pass,1,3
19.834,alive,airbag,belted,1,m,73,1997,1996,deploy,driver,1,3
17.666,alive,none,none,1,m,38,1997,1987,unavail,driver,0,3
17.666,alive,none,none,1,f,41,1997,1987,unavail,pass,0,3
13.374,alive,none,none,1,m,64,1997,1993,unavail,driver,0,4
18.536,alive,airbag,belted,1,f,26,1997,1995,deploy,driver,1,2
86.164,alive,none,belted,1,f,17,1997,1987,unavail,driver,0,1
12.383,alive,none,belted,0,m,83,1997,1992,unavail,driver,0,3
12.383,alive,none,belted,0,m,70,1997,1987,unavail,driver,0,1
12.383,alive,none,belted,0,f,65,1997,1987,unavail,pass,0,3
12.383,alive,none,none,1,f,27,1997,1987,unavail,driver,0,1
553.539,alive,none,belted,1,f,51,1997,1987,unavail,driver,0,0
13.374,dead,none,none,0,m,34,1997,1990,unavail,driver,0,4
12.383,alive,none,none,1,m,20,1997,1981,unavail,driver,0,3
13.374,dead,airbag,belted,1,m,37,1997,1995,deploy,driver,1,4
43.438,alive,none,none,0,m,68,1997,1991,unavail,driver,0,0
43.438,alive,airbag,none,1,m,45,1997,1993,deploy,driver,1,2
92.739,alive,airbag,belted,1,f,61,1997,1993,deploy,driver,1,1
265.765,alive,airbag,belted,0,m,30,1997,1995,nodeploy,driver,0,1
18.536,alive,none,belted,1,m,34,1997,1994,unavail,driver,0,1
18.536,alive,none,belted,0,f,29,1997,1994,unavail,driver,0,3
18.536,alive,airbag,belted,1,f,22,1997,1994,deploy,driver,1,3
18.536,alive,none,belted,0,f,60,1997,1986,unavail,driver,0,3
218.925,alive,airbag,belted,0,m,30,1997,1993,nodeploy,pass,0,1
38.008,alive,none,belted,1,m,32,1997,1989,unavail,driver,0,1
20.668,alive,airbag,belted,1,m,73,1997,1994,deploy,driver,1,2
20.668,alive,airbag,none,0,m,34,1997,1997,nodeploy,driver,0,3
20.668,alive,airbag,belted,1,f,39,1997,1994,nodeploy,driver,0,3
18.536,alive,airbag,belted,0,m,26,1997,1997,deploy,driver,1,3
18.536,alive,none,belted,1,m,20,1997,1993,unavail,driver,0,0
31.333,alive,airbag,belted,0,f,41,1997,1997,nodeploy,driver,0,0
31.333,alive,airbag,belted,1,f,41,1997,1997,deploy,driver,1,1
12.383,alive,none,belted,0,m,27,1997,1992,unavail,driver,0,3
57.196,alive,airbag,belted,0,f,54,1997,1995,nodeploy,driver,0,1
263.534,alive,none,belted,1,m,18,1997,1994,unavail,driver,0,0
100.341,alive,none,none,0,f,38,1997,1985,unavail,driver,0,1
12.383,alive,none,none,1,f,55,1997,1986,unavail,pass,0,3
18.536,alive,none,none,1,f,18,1997,1985,unavail,driver,0,1
378.558,alive,none,belted,1,f,79,1997,1990,unavail,driver,0,1
74.03,alive,airbag,belted,1,f,17,1997,1995,deploy,driver,1,1
74.03,alive,airbag,belted,1,f,17,1997,1995,deploy,pass,1,0
74.03,alive,none,none,0,m,26,1997,1989,unavail,driver,0,5
158.052,alive,none,belted,1,f,19,1997,1987,unavail,pass,0,0
487.677,alive,none,belted,1,f,34,1997,1990,unavail,driver,0,1
15.355,dead,airbag,none,1,f,84,1997,1996,deploy,driver,1,4
15.355,alive,none,belted,0,f,49,1997,1985,unavail,driver,0,1
18.956,alive,none,none,0,m,16,1997,1989,unavail,driver,0,2
18.536,alive,airbag,belted,1,f,33,1997,1994,deploy,driver,1,1
57.68,alive,none,belted,0,f,18,1997,1990,unavail,driver,0,1
18.536,alive,airbag,belted,0,m,62,1997,1994,deploy,driver,1,3
246.278,alive,none,belted,1,m,74,1997,1985,unavail,driver,0,0
12.383,alive,none,none,1,m,37,1997,1991,unavail,driver,0,1
12.383,alive,none,none,1,f,42,1997,1991,unavail,pass,0,3
12.383,alive,none,none,1,f,30,1997,1990,unavail,driver,0,3
21.793,alive,none,belted,1,m,18,1997,1979,unavail,driver,0,3
21.793,alive,none,none,1,m,20,1997,1979,unavail,pass,0,2
12.383,alive,airbag,belted,0,f,17,1997,1991,nodeploy,driver,0,2
408.291,alive,none,belted,1,m,58,1997,1990,unavail,driver,0,2
28.727,alive,airbag,belted,0,m,17,1997,1992,deploy,driver,1,1
114.386,alive,airbag,belted,1,m,28,1997,1995,deploy,driver,1,3
47.817,alive,none,belted,1,f,62,1997,1989,unavail,pass,0,1
76.151,alive,airbag,none,1,f,26,1997,1992,deploy,driver,1,3
55.225,alive,none,none,1,m,39,1997,1992,unavail,driver,0,3
62.316,alive,airbag,belted,0,f,23,1997,1992,deploy,driver,1,2
1776.842,alive,airbag,belted,0,f,50,1997,1993,nodeploy,pass,0,0
1754.785,alive,none,belted,1,m,17,1997,1987,unavail,driver,0,0
29.655,dead,none,none,1,m,75,1997,1986,unavail,driver,0,4
36.702,alive,none,none,0,m,20,1997,1977,unavail,driver,0,2
258.338,alive,airbag,none,0,f,24,1997,1995,deploy,driver,1,3
331.48,alive,none,belted,1,m,35,1997,1991,unavail,driver,0,0
76.997,alive,none,belted,1,m,33,1997,1994,unavail,driver,0,2
37.674,alive,none,belted,1,f,29,1997,1991,unavail,driver,0,1
37.674,alive,none,none,0,f,30,1997,1989,unavail,driver,0,3
51.243,alive,airbag,belted,1,f,20,1997,1995,deploy,driver,1,3
34.699,alive,none,belted,1,m,41,1997,1989,unavail,driver,0,3
264.68,alive,none,belted,1,f,22,1997,1984,unavail,driver,0,0
31.408,dead,none,none,0,m,37,1997,1987,unavail,driver,0,4
38.873,alive,airbag,none,1,f,67,1997,1995,deploy,driver,1,3
766.156,alive,airbag,belted,1,m,31,1997,1994,deploy,driver,1,1
766.156,alive,none,none,1,m,31,1997,1992,unavail,driver,0,1
36.702,alive,none,belted,1,m,23,1997,1988,unavail,driver,0,2
354.531,alive,none,belted,1,f,39,1997,1988,unavail,driver,0,1
311.246,alive,airbag,belted,1,f,24,1997,1996,nodeploy,driver,0,2
29.655,alive,none,none,1,f,19,1997,1989,unavail,pass,0,1
29.655,dead,none,none,1,m,22,1997,1981,unavail,pass,0,4
38.832,alive,airbag,belted,1,f,46,1997,1996,deploy,driver,1,1
636.727,alive,none,none,1,f,28,1997,1989,unavail,driver,0,1
1903.578,alive,none,belted,1,m,42,1997,1987,unavail,driver,0,2
1443.062,alive,none,belted,1,f,20,1997,1984,unavail,pass,0,0
6.6,alive,airbag,belted,1,f,36,1997,1994,deploy,pass,1,2
167.807,alive,airbag,none,1,m,20,1997,1994,deploy,driver,1,0
167.807,alive,airbag,none,1,m,20,1997,1994,deploy,pass,1,0
11.652,alive,none,belted,0,m,18,1997,1989,unavail,driver,0,2
18.361,alive,none,none,1,m,41,1997,1993,unavail,driver,0,1
696.451,alive,airbag,none,1,m,25,1997,1995,deploy,driver,1,2
20.261,alive,none,none,1,f,20,1997,1991,unavail,driver,0,3
14.592,alive,none,none,0,m,24,1997,1987,unavail,driver,0,3
22.485,alive,airbag,none,1,f,31,1997,1995,deploy,driver,1,1
1134.454,alive,none,none,0,m,38,1997,1986,unavail,driver,0,0
7.532,alive,airbag,belted,0,m,33,1997,1996,deploy,driver,1,3
7.532,alive,none,belted,1,m,45,1997,1989,unavail,driver,0,2
7.532,dead,airbag,belted,0,f,63,1997,1995,deploy,pass,1,3
10.828,alive,none,none,1,m,53,1997,1985,unavail,driver,0,3
10.828,alive,none,none,1,f,42,1997,1985,unavail,pass,0,3
10.828,alive,airbag,none,1,m,28,1997,1990,deploy,driver,1,1
10.828,alive,none,belted,1,m,42,1997,1990,unavail,pass,0,3
15.273,alive,none,none,1,m,39,1997,1988,unavail,driver,0,3
11.681,alive,none,none,1,f,20,1997,1984,unavail,driver,0,3
11.681,alive,none,none,1,m,23,1997,1984,unavail,pass,0,3
12.521,alive,airbag,none,0,f,50,1997,1995,nodeploy,driver,0,3
10.245,alive,none,belted,1,f,54,1997,1991,unavail,driver,0,3
10.245,dead,none,belted,0,f,26,1997,1990,unavail,driver,0,4
13.623,alive,airbag,none,1,f,41,1997,1992,deploy,driver,1,1
6.111,alive,airbag,belted,0,m,38,1997,1994,deploy,driver,1,3
11.199,alive,airbag,belted,1,m,18,1997,1997,deploy,driver,1,3
11.884,alive,none,none,0,m,18,1997,1986,unavail,driver,0,3
6.589,alive,none,none,1,m,37,1997,1986,unavail,pass,0,2
22.095,alive,none,none,0,f,68,1997,1989,unavail,pass,0,3
194.025,alive,airbag,belted,1,m,26,1997,1996,deploy,driver,1,2
10.496,alive,airbag,none,1,m,18,1997,1997,deploy,driver,1,1
9.967,alive,airbag,belted,1,m,31,1997,1994,deploy,driver,1,2
9.967,alive,airbag,none,0,m,42,1997,1994,deploy,driver,1,3
9.967,dead,none,none,0,m,47,1997,1994,unavail,pass,0,4
10.684,alive,none,belted,1,f,48,1997,1985,unavail,driver,0,3
12.245,alive,airbag,none,0,m,31,1997,1996,deploy,driver,1,2
283.464,alive,airbag,belted,1,f,26,1997,1994,deploy,driver,1,1
6.589,alive,none,none,1,m,17,1997,1990,unavail,pass,0,2
134.383,alive,none,belted,1,m,53,1997,1984,unavail,driver,0,1
7.757,dead,airbag,belted,0,f,25,1997,1994,deploy,driver,1,4
7.757,alive,none,belted,0,m,27,1997,1994,unavail,pass,0,2
12.536,alive,airbag,none,1,m,28,1997,1995,deploy,driver,1,2
8.533,alive,airbag,belted,1,m,29,1997,1994,deploy,driver,1,2
12.266,alive,airbag,none,1,f,25,1997,1997,deploy,driver,1,2
41.115,alive,none,none,0,f,19,1997,1992,unavail,pass,0,3
10.854,alive,airbag,none,0,m,17,1997,1995,deploy,driver,1,1
10.854,alive,airbag,none,0,m,18,1997,1995,deploy,pass,1,1
11.089,alive,none,none,1,m,29,1997,1990,unavail,pass,0,1
162.446,alive,none,belted,0,m,55,1997,1989,unavail,driver,0,3
162.446,alive,none,belted,1,f,44,1997,1992,unavail,driver,0,1
162.446,alive,none,belted,1,f,25,1997,1989,unavail,driver,0,1
84.915,alive,none,none,1,m,49,1997,1982,unavail,driver,0,2
690.655,alive,none,none,1,m,50,1997,1985,unavail,driver,0,2
35.21,alive,airbag,belted,1,m,37,1997,1996,deploy,driver,1,3
2052.232,alive,none,belted,1,m,59,1997,1985,unavail,driver,0,0
28.449,dead,airbag,none,0,m,26,1997,1995,nodeploy,driver,0,4
317.586,alive,none,none,1,m,20,1997,1994,unavail,pass,0,2
818.818,alive,none,none,1,m,70,1997,1988,unavail,driver,0,2
28.449,alive,none,none,0,m,41,1997,1984,unavail,driver,0,2
28.449,dead,none,none,0,f,20,1997,1984,unavail,pass,0,4
28.449,alive,none,none,1,m,35,1997,1984,unavail,driver,0,3
384.211,alive,airbag,none,0,f,16,1997,1994,nodeploy,driver,0,1
990.595,alive,none,none,1,f,35,1997,1984,unavail,driver,0,5
35.21,alive,airbag,belted,1,m,26,1997,1995,deploy,driver,1,1
771.414,alive,airbag,belted,1,f,61,1997,1992,deploy,driver,1,2
1708.335,alive,none,belted,0,f,28,1997,1989,unavail,driver,0,0
29.136,alive,none,none,1,m,70,1997,1991,unavail,driver,0,4
29.136,alive,none,belted,1,m,37,1997,1985,unavail,driver,0,1
45.456,alive,none,belted,0,m,71,1997,1986,unavail,driver,0,3
860.632,alive,none,belted,0,f,36,1997,1991,unavail,driver,0,5
122.561,alive,airbag,belted,1,m,70,1997,1994,deploy,driver,1,2
122.561,alive,airbag,none,1,f,64,1997,1994,deploy,pass,1,1
315.994,alive,airbag,none,1,m,49,1997,1992,deploy,driver,1,1
94.538,alive,none,none,0,f,46,1997,1987,unavail,driver,0,0
33.288,alive,none,none,1,m,20,1997,1988,unavail,driver,0,2
33.288,alive,none,belted,1,f,35,1997,1986,unavail,driver,0,3
948.714,alive,none,belted,1,m,19,1997,1986,unavail,driver,0,1
513.572,alive,none,belted,1,f,47,1997,1989,unavail,driver,0,1
1137.331,alive,none,belted,0,f,19,1997,1993,unavail,driver,0,0
33.288,alive,none,belted,1,m,32,1997,1992,unavail,driver,0,0
419.115,alive,airbag,none,1,f,47,1997,1992,deploy,driver,1,0
33.288,alive,none,none,0,m,74,1997,1988,unavail,driver,0,3
575.19,alive,none,none,1,m,25,1997,1988,unavail,driver,0,2
35.21,alive,airbag,none,1,m,22,1997,1996,deploy,driver,1,1
588.401,alive,none,none,1,m,49,1997,1986,unavail,driver,0,0
33.288,alive,none,belted,0,f,26,1997,1989,unavail,driver,0,3
33.288,alive,airbag,belted,0,m,38,1997,1990,nodeploy,driver,0,0
790.525,alive,airbag,belted,1,f,29,1997,1994,deploy,driver,1,1
35.21,alive,airbag,none,0,m,24,1997,1997,nodeploy,driver,0,3
896.831,alive,airbag,belted,0,f,26,1997,1993,nodeploy,driver,0,0
636.489,alive,none,none,1,f,39,1997,1985,unavail,driver,0,1
1259.659,alive,none,none,1,f,20,1997,1994,unavail,driver,0,1
1259.659,alive,none,none,1,f,30,1997,1994,unavail,pass,0,0
170.435,alive,airbag,belted,1,f,19,1997,1997,nodeploy,driver,0,1
869.654,alive,airbag,belted,1,m,29,1997,1993,nodeploy,driver,0,0
869.654,alive,airbag,belted,1,m,28,1997,1993,nodeploy,pass,0,0
33.288,alive,none,none,0,m,21,1997,1988,unavail,driver,0,3
560.879,alive,airbag,belted,1,f,72,1997,1992,nodeploy,driver,0,1
33.288,alive,none,belted,0,f,18,1997,1988,unavail,pass,0,5
33.288,alive,none,none,0,m,79,1997,1986,unavail,driver,0,3
33.288,alive,none,belted,0,m,18,1997,1986,unavail,pass,0,3
2082.606,alive,none,none,0,f,40,1997,1984,unavail,driver,0,2
33.288,alive,airbag,belted,1,f,23,1997,1993,deploy,driver,1,3
33.288,alive,none,belted,1,f,42,1997,1992,unavail,driver,0,3
219.49,alive,none,belted,1,m,22,1997,1990,unavail,driver,0,1
125.178,alive,airbag,none,1,f,28,1997,1997,nodeploy,driver,0,2
138.832,dead,none,belted,0,m,39,1997,1988,unavail,driver,0,4
226.904,alive,airbag,belted,1,m,17,1997,1996,deploy,driver,1,0
99.996,alive,none,none,1,f,17,1997,1994,unavail,pass,0,3
99.996,alive,airbag,belted,0,f,53,1997,1996,nodeploy,driver,0,1
99.996,alive,airbag,none,0,f,27,1997,1996,nodeploy,pass,0,1
99.996,alive,none,none,1,m,48,1997,1977,unavail,driver,0,0
171.825,alive,airbag,belted,1,f,45,1997,1996,deploy,driver,1,3
171.825,alive,none,belted,0,f,70,1997,1994,unavail,driver,0,0
357.886,alive,airbag,belted,0,m,72,1997,1994,nodeploy,driver,0,0
320.557,alive,airbag,belted,1,f,39,1997,1996,deploy,driver,1,2
33.288,alive,none,none,1,m,18,1997,1986,unavail,driver,0,3
227.024,alive,none,none,1,f,20,1997,1983,unavail,driver,0,2
227.024,alive,none,belted,1,m,75,1997,1995,unavail,pass,0,1
1158.402,alive,airbag,belted,1,f,31,1997,1995,deploy,driver,1,0
35.21,alive,airbag,none,0,f,17,1997,1994,nodeploy,driver,0,5
35.21,alive,airbag,belted,1,m,40,1997,1996,deploy,driver,1,3
486.032,alive,none,none,1,m,20,1997,1989,unavail,driver,0,1
39.557,alive,airbag,none,1,m,59,1997,1993,deploy,driver,1,3
241.287,alive,none,belted,1,m,80,1997,1988,unavail,driver,0,2
241.287,alive,none,belted,1,f,75,1997,1988,unavail,pass,0,0
241.287,alive,airbag,belted,0,m,41,1997,1991,nodeploy,driver,0,2
534.342,alive,none,belted,0,m,59,1997,1992,unavail,driver,0,0
28.449,dead,airbag,none,0,m,21,1997,1993,deploy,driver,1,4
35.21,alive,airbag,belted,1,m,16,1997,1995,deploy,driver,1,3
35.21,alive,airbag,belted,0,f,38,1997,1998,nodeploy,driver,0,3
465.409,alive,none,belted,0,m,63,1997,1989,unavail,driver,0,0
465.409,alive,airbag,none,1,m,44,1997,1996,deploy,driver,1,0
107.608,alive,airbag,none,1,m,21,1997,1995,deploy,driver,1,2
213.767,alive,none,none,1,f,28,1997,1989,unavail,driver,0,5
344.719,alive,none,belted,0,f,29,1997,1986,unavail,driver,0,1
28.449,alive,none,belted,1,f,20,1997,1992,unavail,driver,0,2
28.449,alive,none,belted,0,m,49,1997,1988,unavail,driver,0,3
33.288,alive,airbag,belted,1,m,47,1997,1992,deploy,driver,1,1
265.855,alive,airbag,none,1,m,41,1997,1996,deploy,driver,1,0
265.855,alive,airbag,belted,0,f,20,1997,1996,deploy,driver,1,1
265.855,alive,none,belted,0,m,66,1997,1986,unavail,driver,0,2
265.855,alive,airbag,belted,1,m,54,1997,1996,deploy,driver,1,0
33.288,alive,none,belted,1,m,27,1997,1992,unavail,driver,0,2
33.288,alive,none,belted,1,m,23,1997,1992,unavail,pass,0,3
402.377,alive,airbag,belted,0,f,44,1997,1993,nodeploy,driver,0,1
402.377,alive,none,belted,1,m,19,1997,1991,unavail,driver,0,5
33.288,alive,none,belted,1,m,26,1997,1992,unavail,pass,0,1
835.963,alive,airbag,belted,0,f,44,1997,1996,nodeploy,driver,0,0
935.429,alive,none,belted,1,m,67,1997,1984,unavail,driver,0,0
63.171,alive,airbag,belted,1,f,38,1997,1997,deploy,driver,1,1
63.171,alive,airbag,belted,0,f,73,1997,1994,nodeploy,driver,0,1
162.87,alive,airbag,belted,1,m,40,1997,1996,deploy,driver,1,0
507.716,alive,airbag,belted,1,f,17,1997,1997,nodeploy,pass,0,0
83.526,alive,airbag,belted,1,f,47,1997,1994,nodeploy,driver,0,0
215.351,alive,none,belted,1,m,17,1997,1993,unavail,driver,0,1
278.398,alive,none,belted,1,m,32,1997,1994,unavail,driver,0,0
